name,country
Riemst,Belgium
Ranst,Belgium
Quaregnon,Belgium
Puurs,Belgium
Putte,Belgium
Poperinge,Belgium
Pont-à-Celles,Belgium
Péruwelz,Belgium
Peer,Belgium
Overijse,Belgium
Oupeye,Belgium
Oudenaarde,Belgium
Oostkamp,Belgium
Ostend,Belgium
Nivelles,Belgium
Ninove,Belgium
Nijlen,Belgium
Neerpelt,Belgium
Namur,Belgium
Mouscron,Belgium
Mortsel,Belgium
Morlanwelz-Mariemont,Belgium
Montignies-sur-Sambre,Belgium
Mons,Belgium
Molenbeek-Saint-Jean,Belgium
Mol,Belgium
Middelkerke,Belgium
Merksem,Belgium
Merelbeke,Belgium
Menen,Belgium
Meise,Belgium
Mechelen-aan-de-Maas,Belgium
Mechelen,Belgium
Mariakerke,Belgium
Marcinelle,Belgium
Marchienne-au-Pont,Belgium
Marche-en-Famenne,Belgium
Manage,Belgium
Maldegem,Belgium
Maasmechelen,Belgium
Maaseik,Belgium
Louvain-la-Neuve,Belgium
Lommel,Belgium
Lokeren,Belgium
Lochristi,Belgium
Lille,Belgium
Lier,Belgium
Liège,Belgium
Leuven,Belgium
Lessines,Belgium
Lede,Belgium
Lebbeke,Belgium
Lanaken,Belgium
La Louvière,Belgium
Kortrijk,Belgium
Kortenberg,Belgium
Kontich,Belgium
Koksijde,Belgium
Koersel,Belgium
Koekelberg,Belgium
Knokke-Heist,Belgium
Kessel-Lo,Belgium
Kasterlee,Belgium
Kapellen,Belgium
Kalmthout,Belgium
Jumet,Belgium
Jette,Belgium
Jambes,Belgium
Izegem,Belgium
Ixelles,Belgium
Ieper,Belgium
Huy,Belgium
Houthalen,Belgium
Hoogstraten,Belgium
Hoboken,Belgium
Heverlee,Belgium
Heusy,Belgium
Heusden,Belgium
Herzele,Belgium
Herve,Belgium
Herstal,Belgium
Herentals,Belgium
Herent,Belgium
Helchteren,Belgium
Heist-op-den-Berg,Belgium
Hasselt,Belgium
Harelbeke,Belgium
Hamme,Belgium
Halle,Belgium
Haaltert,Belgium
Grivegnée,Belgium
Grimbergen,Belgium
Gilly,Belgium
Geraardsbergen,Belgium
Gentbrugge,Belgium
Gent,Belgium
Genk,Belgium
Gembloux,Belgium
Geel,Belgium
Ganshoren,Belgium
Frameries,Belgium
Forest,Belgium
Fleurus,Belgium
Fléron,Belgium
Flémalle-Haute,Belgium
Evergem,Belgium
Evere,Belgium
Eupen,Belgium
Etterbeek,Belgium
Ekeren,Belgium
Eeklo,Belgium
Edegem,Belgium
Duffel,Belgium
Dour,Belgium
Dilbeek,Belgium
Diksmuide,Belgium
Diest,Belgium
Diepenbeek,Belgium
Deurne,Belgium
Destelbergen,Belgium
Dendermonde,Belgium
Denderleeuw,Belgium
Deinze,Belgium
Courcelles,Belgium
Colfontaine,Belgium
Chaudfontaine,Belgium
Châtelineau,Belgium
Châtelet,Belgium
Chasse Royale,Belgium
Charleroi,Belgium
Brussels,Belgium
Brugge,Belgium
Brasschaat,Belgium
Braine-le-Comte,Belgium
Braine-l'Alleud,Belgium
Boussu,Belgium
Bornem,Belgium
Borgerhout,Belgium
Boom,Belgium
Blauwput,Belgium
Blankenberge,Belgium
Binche,Belgium
Bilzen,Belgium
Beveren,Belgium
Bevere,Belgium
Beringen,Belgium
Berchem-Sainte-Agathe,Belgium
Berchem,Belgium
Beersel,Belgium
Beerse,Belgium
Balen,Belgium
Auderghem,Belgium
Ath,Belgium
Assebroek,Belgium
Asse,Belgium
Arlon,Belgium
Antwerpen,Belgium
Ans,Belgium
Anderlecht,Belgium
Andenne,Belgium
Aarschot,Belgium
Aalter,Belgium
Aalst,Belgium
Zürich,Switzerland
Zug,Switzerland
Yverdon-les-Bains,Switzerland
Winterthur,Switzerland
Wil,Switzerland
Wetzikon,Switzerland
Wettingen,Switzerland
Vevey,Switzerland
Vernier,Switzerland
Uster,Switzerland
Thun,Switzerland
Steffisburg,Switzerland
Sitten,Switzerland
Sierre,Switzerland
Zürich (Kreis 11) / Seebach,Switzerland
Schaffhausen,Switzerland
Sankt Gallen,Switzerland
Renens,Switzerland
Rapperswil,Switzerland
Pully,Switzerland
Onex,Switzerland
Olten,Switzerland
Zürich (Kreis 11) / Oerlikon,Switzerland
Nyon,Switzerland
Neuchâtel,Switzerland
Muttenz,Switzerland
Montreux,Switzerland
Monthey,Switzerland
Meyrin,Switzerland
Luzern,Switzerland
Lugano,Switzerland
Littau,Switzerland
Lausanne,Switzerland
La Chaux-de-Fonds,Switzerland
Kriens,Switzerland
Kreuzlingen,Switzerland
Köniz,Switzerland
Kloten,Switzerland
Jona,Switzerland
Horgen,Switzerland
Zürich (Kreis 10) / Höngg,Switzerland
Herisau,Switzerland
Grenchen,Switzerland
Gossau,Switzerland
Genève,Switzerland
Fribourg,Switzerland
Frauenfeld,Switzerland
Emmen,Switzerland
Dübendorf,Switzerland
Dietikon,Switzerland
Chur,Switzerland
Cham,Switzerland
Carouge,Switzerland
Burgdorf,Switzerland
Bulle,Switzerland
Biel/Bienne,Switzerland
Bern,Switzerland
Bellinzona,Switzerland
Basel,Switzerland
Baden,Switzerland
Baar,Switzerland
Zürich (Kreis 4) / Aussersihl,Switzerland
Allschwil,Switzerland
Adliswil,Switzerland
Aarau,Switzerland
Riehen,Switzerland
Zürich (Kreis 10) / Wipkingen,Switzerland
Zürich (Kreis 11) / Affoltern,Switzerland
Zürich (Kreis 2) / Wollishofen,Switzerland
Zürich (Kreis 3) / Sihlfeld,Switzerland
Zürich (Kreis 6) / Unterstrass,Switzerland
Zürich (Kreis 9) / Albisrieden,Switzerland
Zürich (Kreis 9) / Altstetten,Switzerland
Stadt Winterthur (Kreis 1),Switzerland
Zürich (Kreis 12),Switzerland
Seen (Kreis 3),Switzerland
Zürich (Kreis 3),Switzerland
Zürich (Kreis 11),Switzerland
Zürich (Kreis 9),Switzerland
Oberwinterthur (Kreis 2),Switzerland
Zürich (Kreis 10),Switzerland
Zürich (Kreis 2),Switzerland
Zürich (Kreis 8),Switzerland
Zürich (Kreis 7),Switzerland
Zürich (Kreis 6),Switzerland
Lancy,Switzerland
Aguadilla,Puerto Rico
Arecibo,Puerto Rico
Barceloneta,Puerto Rico
Bayamón,Puerto Rico
Caguas,Puerto Rico
Candelaria,Puerto Rico
Carolina,Puerto Rico
Cataño,Puerto Rico
Cayey,Puerto Rico
Fajardo,Puerto Rico
Guayama,Puerto Rico
Guaynabo,Puerto Rico
Humacao,Puerto Rico
Levittown,Puerto Rico
Manatí,Puerto Rico
Mayagüez,Puerto Rico
Ponce,Puerto Rico
San Juan,Puerto Rico
Trujillo Alto,Puerto Rico
Vega Baja,Puerto Rico
Yauco,Puerto Rico
Lebedyn,Ukraine
Druzhkivka,Ukraine
Zvenihorodka,Ukraine
Zuhres,Ukraine
Zolotonosha,Ukraine
Zolochiv,Ukraine
Znamyanka,Ukraine
Zhytomyr,Ukraine
Zhmerynka,Ukraine
Zhovti Vody,Ukraine
Zdolbuniv,Ukraine
Zaporizhzhya,Ukraine
Yuzhne,Ukraine
Yevpatoriya,Ukraine
Yenakiieve,Ukraine
Yasynuvata,Ukraine
Yalta,Ukraine
Yahotyn,Ukraine
Vyshhorod,Ukraine
Vynohradiv,Ukraine
Voznesensk,Ukraine
Volochysk,Ukraine
Volnovakha,Ukraine
Vilnohirsk,Ukraine
Vovchansk,Ukraine
Volodymyr-Volynskyi,Ukraine
Vyshneve,Ukraine
Vinnytsya,Ukraine
Vilnyansk,Ukraine
Verkhnodniprovsk,Ukraine
Vatutine,Ukraine
Vasylkiv,Ukraine
Uzhgorod,Ukraine
Uman,Ukraine
Tulchyn,Ukraine
Oleshky,Ukraine
Truskavets,Ukraine
Trostianets,Ukraine
Chystyakove,Ukraine
Tokmak,Ukraine
Ternivka,Ukraine
Ternopil,Ukraine
Sievierodonetsk,Ukraine
Svitlovodsk,Ukraine
Dovzhansk,Ukraine
Svatove,Ukraine
Svalyava,Ukraine
Sumy,Ukraine
Sudak,Ukraine
Stryi,Ukraine
Stebnyk,Ukraine
Starokostyantyniv,Ukraine
Starobilsk,Ukraine
Kadiyivka,Ukraine
Sokal,Ukraine
Snizhne,Ukraine
Smila,Ukraine
Sloviansk,Ukraine
Slavuta,Ukraine
Skvyra,Ukraine
Skadovsk,Ukraine
Synelnykove,Ukraine
Simferopol,Ukraine
Shpola,Ukraine
Shostka,Ukraine
Shepetivka,Ukraine
Shakhtarsk,Ukraine
Sevastopol,Ukraine
Selydove,Ukraine
Sarny,Ukraine
Sambir,Ukraine
Saki,Ukraine
Rubizhne,Ukraine
Rozdilna,Ukraine
Kurakhove,Ukraine
Rovenky,Ukraine
Romny,Ukraine
Rivne,Ukraine
Rakhiv,Ukraine
Radomyshl,Ukraine
Pyatykhatky,Ukraine
Pryluky,Ukraine
Popasna,Ukraine
Poltava,Ukraine
Polonne,Ukraine
Polohy,Ukraine
Pidhorodne,Ukraine
Pervomaiskyi,Ukraine
Pervomaisk,Ukraine
Pervomaysk,Ukraine
Pershotravensk,Ukraine
Pereiaslav,Ukraine
Perevalsk,Ukraine
Pavlohrad,Ukraine
Ovruch,Ukraine
Pokrov,Ukraine
Oleksandriya,Ukraine
Odesa,Ukraine
Obukhiv,Ukraine
Novovolynsk,Ukraine
Novoukrayinka,Ukraine
Novomoskovsk,Ukraine
Zviahel,Ukraine
Nova Kakhovka,Ukraine
Nizhyn,Ukraine
Nikopol,Ukraine
Netishyn,Ukraine
Nadvirna,Ukraine
Mykolayiv,Ukraine
Mukachevo,Ukraine
Mostyska,Ukraine
Molodohvardiisk,Ukraine
Mohyliv-Podilskyy,Ukraine
Myrhorod,Ukraine
Merefa,Ukraine
Melitopol,Ukraine
Mariupol,Ukraine
Marhanets,Ukraine
Malyn,Ukraine
Makiivka,Ukraine
Lyubotyn,Ukraine
Lviv,Ukraine
Lutuhyne,Ukraine
Lutsk,Ukraine
Luhansk,Ukraine
Lubny,Ukraine
Lozova,Ukraine
Lysychansk,Ukraine
Ladyzhyn,Ukraine
Kyiv,Ukraine
Kurakhovo,Ukraine
Kupiansk,Ukraine
Kryvyy Rih,Ukraine
Krolevets,Ukraine
Kreminna,Ukraine
Kremenets,Ukraine
Kremenchuk,Ukraine
Khrustalnyi,Ukraine
Lyman,Ukraine
Yany Kapu,Ukraine
Krasnohrad,Ukraine
Sorokyne,Ukraine
Pokrovsk,Ukraine
Krasyliv,Ukraine
Kramatorsk,Ukraine
Kivsharivka,Ukraine
Kovel,Ukraine
Kotsiubynske,Ukraine
Podilsk,Ukraine
Kostopil,Ukraine
Korsun-Shevchenkivskyy,Ukraine
Korostyshiv,Ukraine
Korosten,Ukraine
Kostiantynivka,Ukraine
Konotop,Ukraine
Slobozhans’ke,Ukraine
Kolomyia,Ukraine
Khrestivka,Ukraine
Holubivka,Ukraine
Kropyvnytskyy,Ukraine
Kiliya,Ukraine
Khust,Ukraine
Khmelnytskyi,Ukraine
Khmilnyk,Ukraine
Kherson,Ukraine
Khartsyzk,Ukraine
Kharkiv,Ukraine
Kerch,Ukraine
Kozyatyn,Ukraine
Kaniv,Ukraine
Kamianets-Podilskyi,Ukraine
Kalush,Ukraine
Kalynivka,Ukraine
Kakhovka,Ukraine
Izium,Ukraine
Iziaslav,Ukraine
Izmail,Ukraine
Ivano-Frankivsk,Ukraine
Irpin,Ukraine
Ilovays’k,Ukraine
Chornomors’k,Ukraine
Horodok,Ukraine
Horlivka,Ukraine
Hlukhiv,Ukraine
Hostomel,Ukraine
Horodok,Ukraine
Henichesk,Ukraine
Haysyn,Ukraine
Hadyach,Ukraine
Feodosiya,Ukraine
Fastiv,Ukraine
Enerhodar,Ukraine
Dzhankoi,Ukraine
Toretsk,Ukraine
Dunayivtsi,Ukraine
Dubno,Ukraine
Drohobych,Ukraine
Donetsk,Ukraine
Dolyna,Ukraine
Dolynska,Ukraine
Dokuchaievsk,Ukraine
Dobropillia,Ukraine
Dnipro,Ukraine
Kamyanske,Ukraine
Dniprorudne,Ukraine
Myrnohrad,Ukraine
Derhachi,Ukraine
Debaltseve,Ukraine
Chuhuiv,Ukraine
Chortkiv,Ukraine
Chervonopartyzansk,Ukraine
Chervonohrad,Ukraine
Chernivtsi,Ukraine
Chernihiv,Ukraine
Cherkasy,Ukraine
Bucha,Ukraine
Brianka,Ukraine
Brovary,Ukraine
Brody,Ukraine
Boiarka,Ukraine
Boryspil,Ukraine
Boryslav,Ukraine
Bolhrad,Ukraine
Bohuslav,Ukraine
Bohodukhiv,Ukraine
Bilhorod-Dnistrovskyi,Ukraine
Bila Tserkva,Ukraine
Berezhany,Ukraine
Berezan,Ukraine
Berehove,Ukraine
Berdychiv,Ukraine
Berdyansk,Ukraine
Bilopillia,Ukraine
Bilohirsk,Ukraine
Bar,Ukraine
Balta,Ukraine
Balakliia,Ukraine
Balaklava,Ukraine
Bakhmach,Ukraine
Bakhchysarai,Ukraine
Avdiivka,Ukraine
Bakhmut,Ukraine
Armyansk,Ukraine
Apostolove,Ukraine
Antratsyt,Ukraine
Amvrosiivka,Ukraine
Alushta,Ukraine
Alchevsk,Ukraine
Okhtyrka,Ukraine
Horishni Plavni,Ukraine
Slavutych,Ukraine
Yuzhnoukrayinsk,Ukraine
Varash,Ukraine
Novoyavorivs'k,Ukraine
Reni,Ukraine
